category,question_title,question_content,question_date,question_url
Huyết học,Chỉ số huyết học,"bác sĩ cho e hỏi với ạ. Bé nhà em hiện tại 8 tháng tuổi và có dùng thuốc điều trị động kinh Trileptal 60mg/ml. Hôm vừa rồi cháu đi khám lại và có xét nghiệm máu, Trong xét nghiệm máu e thấy có các chỉ số hơi như sau: 
WBC 7.1( 7.7-13.1)
RBC 4.77 ( 3.81- 4.74)
PLT 489 ( 140-440) 
MCV 67.9 ( 75.6-83.1)
MCH 23.3 ( 26.0- 29.0)
MPV 9.6( 7.3- 8.1)
NEUT 2.02( 2.5- 6.4)
Em đang lo lắng k biết đây có phải là do tác dụng phụ của thuốc không hay ? Em mong bác sĩ giúp đỡ và xem giúp e kết quả với ạ! Em xin chân thành cảm ơn bác sĩ!",29/08/2020,https://medlatec.vn/hoi-dap/chi-so-huyet-hoc-c11-q55925#traloi
Huyết học,Tỷ lệ phần trăm bạch cầu gran giảm,"Hôm nay người mệt mỏi tôi có đi xét nghiệm máu 
Có thấy trong mục xét nghiệm có phần tỷ lệ phần trăm bạch cầu gran giảm đạt 21.9 trong khi chỉ số bình thường 42% -> 85% 
Tôi có hỏi bác sĩ bảo kh sao 
, và tôi có tiền sử bệnh rối loạn thần kinh thực vật .lên cơ thể hay mệt mỏi 
Tôi mong bác sĩ cho tôi lời khuyên và câu trả lời để  Tôi cải thiện dc sức khoẻ của mình ạ",29/08/2020,https://medlatec.vn/hoi-dap/ty-le-phan-tram-bach-cau-gran-giam--c11-q55901#traloi
Huyết học,"Bất thường hình thái hồng cầu, giảm MCV và MCH.","Hôm nay em có đi xét nghiệm huyết học, kí sinh trùng. Kết quả là có vài thông số nằm ngoài khoảng tham chiếu bình thường của phòng xét nghiệm:
-Huyết học: 
+ huyết sắc tố (Hb) 15 g/dl
+ (RBC) 6,14  10^12/L , ghi là hồng cầu kích thước không đều, có hồng cầu hình bầu dục, hình miệng, hình cầu.
+ (HCT) 45,8 %
+ (MCV) 74,6 fL
+ (MCH) 24,4 pg
+(MCHC) 32,8 g/dl
+ (PLT) 283   10^9/L
+ (WBC) 6,05  10^9/L
.....v.v...
-Vi sinh:
+ Toxacara IgG  dương tính 0,04 OD
==> Thưa bác sĩ, như vậy ngoài việc em bị nhiễm giun ra thì em có bị thiếu máu không ạ? Và liệu nhiễm giun thì có gây thiếu máu như trong trường hợp này của em không ạ? 
E cảm ơn bác sĩ nhiều ạ!",26/08/2020,https://medlatec.vn/hoi-dap/bat-thuong-hinh-thai-hong-cau-giam-mcv-va-mch-c11-q55797#traloi
Huyết học,Hỏi về kết quả xét nghiệm máu viêm gan b,"Chào bác sĩ. Chồng e bị nhiễm viêm gan b e lo lắng bị lây nhiễm từ chồng nên đã đi xét nghiệm máu kết quả xét nghiệm máu của e như sau : ast(sgot)18.1 ALT(SGPT) 18.7 GGT 24.8
Miễn dịch 
HB sAg  NEGATIVE   Negative 
Anti-HBs POSITIVE   NEGATIVE 
Vậy cho e hỏi e đã có kháng thể viêm gan b chưa  và có bị nhiễm không ạ   E cảm ơn",25/08/2020,https://medlatec.vn/hoi-dap/hoi-ve-ket-qua-xet-nghiem-mau-viem-gan-b--c11-q55728#traloi
Huyết học,Độ phân bố TC(PDW),Cho em hỏi bảng phân tích mà bên mình gửi về cho em mọi chỉ sợ đều bình thường. Duy nhất độ phân bố TC  là 17.9 cao hơn nhiều so với mức cho phép. Vậy em có bị  mắc một sự bệnh nguy hiểm  không ạ?  Em cảm ơn bác sĩ.,17/08/2020,https://medlatec.vn/hoi-dap/do-phan-bo-tcpdw-c11-q55387#traloi
Huyết học,Giảm tiểu cầu trẻ sơ sinh 1 tháng,"Chào bác sĩ,
Bé nhà em hôm nay được 1 tháng tuổi. Em cho bé lên bệnh viện làm xét nghiệm chỉ số bilirubin. Bác sĩ làm cả công thức máu thì thấy số lượng tiểu cầu giảm (134   10^9/L). Mức bình thường là 150-450. Bác sĩ cho em hỏi mức giảm như vậy ở trẻ sơ sinh có đáng lo ngại không ạ? Nguyên nhân giảm thường là gì ạ? Cần làm gì để số lượng lên mức bình thường  ạ? Em cảm ơn bác sĩ ạ.",17/08/2020,https://medlatec.vn/hoi-dap/giam-tieu-cau-tre-so-sinh-1-thang-c11-q55375#traloi
Huyết học,Tư vấn,Bác sỹ cho tôi hỏi: Vừa qua tôi xét nghiệm máu ở Midiatec có chỉ số CA 72-4: 12.7 như vậy là như thế nào ah!,10/08/2020,https://medlatec.vn/hoi-dap/tu-van-c11-q55111#traloi
Huyết học,HIV,Em có Quan hệ gái Mai dâm có dùng bcs nhưng bị sep ở túi Tinh 21ngay em có gửi mẫu xét nghiệm huyết Thanh học 85ngay em test nhanh đieu âm tinh mà lần test nhanh nay em ik đám có uống 4-5lon bìa khoảng 5h sau em mới test nhanh Co chinh xac ko bác si em có thể yên tâm được chưa bác sĩ,09/08/2020,https://medlatec.vn/hoi-dap/hiv-c11-q55062#traloi
Huyết học,Pdw,Chỉ số pdw tăng 2.5 có được coi là cao ko a có bị ảnh hưởng j ko ạ,07/08/2020,https://medlatec.vn/hoi-dap/pdw-c11-q54962#traloi
Huyết học,Miễn dịch SCC,"Xin cho tôi được hỏi, tôi xét nghiệm máu tại medlatec, chỉ số Miễn dịch SCC (cobas) là 3.35 ng/ml lớn hơn 3 ng/ml có vấn đề ji không ạ? Xin cảm ơn!",07/08/2020,https://medlatec.vn/hoi-dap/mien-dich-scc-c11-q54946#traloi
Huyết học,Cho e hỏi về kết quả chỉ số xét nghiệm,"MCV:83fl
MCH: 27.2
Độ phân bố tiểu cầu PDW: 20.5 (10.5-16.5)
Tỉ lệ % bạch cầu mono: tăng
Frerritin: 209.9 tăng.
Liệu e có nguy cơ mang gen tan máu k ạ",06/08/2020,https://medlatec.vn/hoi-dap/cho-e-hoi-ve-ket-qua-chi-so-xet-nghiem-c11-q54920#traloi
Huyết học,Chỉ số LYM trong máu giảm,"Hôm nay em có bị sốt nên đi bệnh viện thì có vào xét nghiệm máu, sau khi về em tìm hiểu các chỉ số trên bảng xét nghiệm thì thấy chỉ số LYM của mình là 10.9 và e search trên google thì thấy có nhiều thông tin rằng nếu chỉ số này giảm thì có khả năng bị HIV thì có đúng không ạ? E nên làm gì trong trường hợp này ạ?",02/08/2020,https://medlatec.vn/hoi-dap/chi-so-lym-trong-mau-giam-c11-q54759#traloi
Huyết học,E chào bác sĩ,"Hồng của e 3,38, huyết sắc tố 10,5  có vấn đề gì k ạ? E cảm ơn bác sĩ",02/08/2020,https://medlatec.vn/hoi-dap/e-chao-bac-si-c11-q54746#traloi
Huyết học,Huyết học D Dimer,"Em hiện đang mang thai được 22 tuần 3 ngày có xét nghiệm chỉ số d dimer  là 1,7 mg/l, định lượng fibrinogen 5.63g/l. Em muốn hỏi 2 chỉ số ấy có ảnh hưởng như nào đến e bé?",02/08/2020,https://medlatec.vn/hoi-dap/huyet-hoc-d-dimer-c11-q54738#traloi
Huyết học,Bệnh tan máu bẩm sinh,"Bác sĩ cho em hỏi hai vợ chồng em đi xét nghiệm gen tan máu bẩm sinh kết quả chồng em có gen alpha-thal,sea dị hợp tử, em có gen alpha-thal,4.2 dị hợp tử, như vậy nguy cơ sinh con 25% con sinh ra mắc bệnh thalassemia thuộc thể gì ạ?",01/08/2020,https://medlatec.vn/hoi-dap/benh-tan-mau-bam-sinh--c11-q54726#traloi
Huyết học,Kết quả xét nghiệm máu cea architect,Bác sỹ cho tôi hỏi là kết quả sét nghiệm máu cea architect của tôi là 6.65 (ng/ml) khoảng tham chiếu (<5.00) chỉ số như vậy có bị bênh gì không ạ,31/07/2020,https://medlatec.vn/hoi-dap/ket-qua-xet-nghiem-mau-cea-architect-c11-q54651#traloi
Huyết học,Bệnh tan máu bẩm sinh,Em tên Hải 30 tuổi em ở Hậu Giang:bqc sỉ cho em hỏi bệnh tan máu bẩm sinh.ghép tế bào tủy chi phí bao nhiêu ạ.,22/07/2020,https://medlatec.vn/hoi-dap/benh-tan-mau-bam-sinh-c11-q54229#traloi
Huyết học,bệnh thiếu máu,"bác sĩ cho e hỏi là mẹ em có kết quả xét nghiệm máu bình thường, bố e có kết quả xét nghiệm máu với chỉ số MCV là 67,2 và MCH là 21,4, em có xét nghiệm với chỉ số MCV là 61,8 và MCH là 19,7, HGB là 110, RDW-CV là 15,4. với kết quả này e có thể bị bệnh tan máu bẩm sinh không ạ, em cảm ơn.",21/07/2020,https://medlatec.vn/hoi-dap/benh-thieu-mau-c11-q54197#traloi
Huyết học,Chi phí ghép tế bao gốc,Bé nhà e chuan đoán bị bệnh thiêu máu.bjo e muôn sinh bé thư2 để ghép tế bào gốc thì chi phí bnhie ạ,20/07/2020,https://medlatec.vn/hoi-dap/chi-phi-ghep-te-bao-goc-c11-q54144#traloi
Huyết học,hỏi đáp về chỉ số xét nghiệm mấu,"bác sĩ cho em hỏi là e có đi xét nghiệm máu với chỉ số HGB là 110, RBC là 5,67, MCV là 61,9 MCH là 19,4 RDW-CV là 16,4. với chỉ số trên e coa dấu hiệu của bệnh thiếu máu không ạ???em cảm ơn",19/07/2020,https://medlatec.vn/hoi-dap/hoi-dap-ve-chi-so-xet-nghiem-mau-c11-q54079#traloi
Huyết học,Tỉ lệ bạch cầu trung tính giảm,"Em đi xét nghiệm máu 24 thông số thấy chỉ số NEUT% của em là 33,8% (49,0-72,0), NEUT# là 1,91 K/uL (2,0 - 6,90), mà WBC của em là 5,64 K/uL (4,4 - 10,8)..!! Cho em hỏi tỉ lệ bạch cầu trung tính của em như vậy có nguy hiểm gì không, em có cần đi xét nghiệm thêm gì không thưa bác sỹ..!! Em xin cám ơn bác sỹ",19/06/2020,https://medlatec.vn/hoi-dap/ti-le-bach-cau-trung-tinh-giam-c11-q52717#traloi
Huyết học,Hỏi kết quả xét nghiệm máu,"Thưa bác sỹ. Em vừa nhận được kết quả xét nghiệm máu của Medlatec. Trong đó: độ phân bố HC (RDW-SD) thấp và  tỷ lệ % bạch cầu Mono giảm. Bác sỹ có thể phân tích giúp em là chỉ số đó có gì nghiêm trọng không và làm gì để cải thiện đưa chỉ số về ngưỡng chuẩn với ạ.
Em xin bổ sung thêm. Em mới đi hiến máu đợt 19/4/2020
Bị ngã xe, xước chân tay và uống Anpha choay từ 8/6/2020. Xét nghiệm máu hôm 13/06/2020. 
Hi vọng nhận được sự trợ giúp từ bác sỹ ạ",16/06/2020,https://medlatec.vn/hoi-dap/hoi-ket-qua-xet-nghiem-mau-c11-q52565#traloi
Huyết học,Ăn uống chung với người bị hiv,Chào bác sĩ e làm kế toán tại bệnh viện. Lúc 1 tháng trước e có uống chung ống hút với 1 người hộ lý. Hiện tại e nghe đồn người đó bị hiv nhưng e thấy người đó mập mạp ăn uống bình thường . e lo lắng đã đi test nhanh hiv thì kết quả máu e bình thường. Vậy khả năng e uống chung ống hút với người đó có bị lây k ạ. E cám ơn,16/06/2020,https://medlatec.vn/hoi-dap/an-uong-chung-voi-nguoi-bi-hiv-c11-q52562#traloi
Huyết học,chỉ số HBsAb,Bác sĩ cho e hỏi chỉ số HBsAb của e là 22.00 U/L thì có phải e bị viêm gan B không? và nế không thì chỉ số này có an toàn ko ak,15/06/2020,https://medlatec.vn/hoi-dap/chi-so-hbsab-c11-q52534#traloi
Huyết học,xét nghiệm BC trung tính,"Chào bác sĩ .bác sĩ cho tôi hỏi chỉ số bạch cầu trung tính neut của tôi tăng 7.7 có sao không a? 
xin cảm ơn.",14/06/2020,https://medlatec.vn/hoi-dap/xet-nghiem-bc-trung-tinh-c11-q52491#traloi
Huyết học,Nổi hạch,"thưa bác sĩ, con 16 tuổi cách đây hơn 1 tháng con có bị nổi hạch, đến thời điểm hiện tại vẫn còn. Sờ vào hạch di động không đau. Con có bị bệnh viêm mũi dị ứng và viêm da cơ địa từ nhỏ. Gần đây con có đi xét nghiệm máu thì bác sĩ cho kết quả là thiếu máu, bảo con về ăn thêm thịt bò. Dạ bác sĩ cho con hỏi việc nổi hạch và thiếu máu như thế có sao không ạ? Và con đang trong độ tuổi hành kinh ạ.",13/06/2020,https://medlatec.vn/hoi-dap/noi-hach-c11-q52464#traloi
Huyết học,Xin hỏi bác sĩ về chỉ số máu,"Xin bác sĩ tư vấn giúp tôi, tôi đi xét nghiệm máu, chỉ số bạch cầu EOS rất cao, và tôi đã xét nghiệm 2 lần cách nhau một năm nhưng tôi không quan tâm vì thấy bác sỹ cho xét nghiệm không nói gì. Hôm nay tôi đọc trang này, 
tôi biết được chỉ số bạch cầu cao rất nguy hiểm.  Vậy tôi nhờ  bác sĩ tư vấn giúp tôi liệu có phải là bị bệnh ung thư máu ko? và tôi phải làm gì ? Tôi chân thành cảm ơn bác sỹ rất nhiều.",13/06/2020,https://medlatec.vn/hoi-dap/xin-hoi-bac-si-ve-chi-so-mau-c11-q52428#traloi
Huyết học,Bệnh Thalassemia,"Các bác sĩ cho tôi hỏi, con tôi mới sinh được làm sàng lọc, kết quả điện di huyết sắc tố như sau hba:21.5%, hbf:75.5%, hb barts:3%, MCH=31, MCV=95. Bác sĩ kết luận theo dõi người mang gen anpha thalassemia và bảo 2 vợ chồng xét nghiệm máu và điện di huyết sắc tố để sàng lọc. 
Kết quả của tôi như sau: RBC= 4.85, HCT=46,5% MCH=32.2, MCV=95.2, HgB=157 g/l, Ferritin=707 Pmol/L; HbA=97,6%, HbA2=2.4% và không có Hb khác.
Kết quả của vợ tôi: RBC= 4.85,HCT=40,5%, MCH=27.5, MCV=83.8, HgB=133 g/l, Ferritin=115 Pmol/L, HbA=97.5%, HbA2=2.5% và không có Hb khác.
Vậy các bác sĩ cho tôi hỏi, có phải tôi hoặc vợ mang gen anpha thalassemia và cháu nhà tôi chỉ mang gen giống bố hoặc mẹ phải không ạ.",12/06/2020,https://medlatec.vn/hoi-dap/benh-thalassemia-c11-q52426#traloi
Huyết học,Giải đáp chỉ số,"Hôm trước em có làm xn máu và được kết quả
ALT (cobas) 46,40 u/l tăng
Và cholesterol (cobas) 5,36 mmol/l tăng
Mong bác sĩ kết luận bệnh ạ",11/06/2020,https://medlatec.vn/hoi-dap/giai-dap-chi-so-c11-q52339#traloi
Huyết học,Bệnh nhi tập phục hồi chức năng có cần xét nghiệm máu không,"Chào Bs . Bs cho tôi hỏi con tôi 21,5 tháng cháu chưa biết đi . Hiện đang tập phục hồi chức năng viện nhi . Cháu chạy điện , xoa bóp và vận động thụ động . Bệnh án là nội trú ban ngày . Vấn đề tôi muốn hỏi là con tôi như vậy thì cần gì làm xét nghiệm máu mạf lần nào Bs cũng bảo xét nghiệm máu  ? Tôi muốn hỏi là có luật nào quy định bệnh nhân phục hồi chức năng phải xét nghiệm máu không ? Nếu không thì toi phải nói như nào đẻ Bs không bắt con toi xét nghiệm máu nữa .",11/06/2020,https://medlatec.vn/hoi-dap/benh-nhi-tap-phuc-hoi-chuc-nang-co-can-xet-nghiem-mau-khong--c11-q52338#traloi
Huyết học,Xét nghiệm sàng lọc phụ nữ mang thai,"Xét nghiệm những thứ gì,thai 14 tuần",10/06/2020,https://medlatec.vn/hoi-dap/xet-nghiem-sang-loc-phu-nu-mang-thai-c11-q52307#traloi
Huyết học,HỎI VỀ KẾT QUẢ XN,"thân chào bệnh viện medlatec, mình là Ngà, mình muốn xin lại kết quả xét nghiệm máu của bé nhà mình vào khoảng thời gian trước ạ: bé nhà mình tên Đào Dương Trà My, lấy mẫu máu tại văn phòng chi nhánh đông anh, mình ko nhớ là lấy mẫu ngày nào, bé sinh 12/09/2018, làm xét nghiệm xem có bị nhiễm gan b hay ko và định lượng kháng thể ạ, lần đó mình đăng kí trả kết quả về sdt 0943007246, mong các bạn giúp đỡ mình, mình cảm ơn",09/06/2020,https://medlatec.vn/hoi-dap/hoi-ve-ket-qua-xn-c11-q52240#traloi
Huyết học,Chi phí ghép tuy điều trị thalasemia,"Hai vợ chồng tôi đều Mang gen beta thalasemi, chung tôi có một be gai năm nay 5t hoan toan khỏe mạnh.  Bây giờ chúng tôi muốn sinh một bé nưa nhưng cháu bị bệnh thalesemia thì chi phí ghép tuy thế nào,?  Cần chuẩn bị những gì ah",09/06/2020,https://medlatec.vn/hoi-dap/chi-phi-ghep-tuy-dieu-tri-thalasemia-c11-q52231#traloi
Huyết học,Tăng phần trăm nomo,Cho em hỏi sáng nay em đi xét nghiệm công thức máu cho kết quả của em phần trăm bạch cầu mono rất cao 14.3/8 TT 0.7/.09 vậy cho em hỏi nguyên nhân nào gây ra như vậy ạ,09/06/2020,https://medlatec.vn/hoi-dap/tang-phan-tram-nomo-c11-q52225#traloi
Huyết học,Xin tư vấn về 2 chỉ tiêu máu của tôi,"-Tôi bị chỉ số MONO%(tỷ lệ%mono) tăng so với hạn mức trên cho phép là 4 thi của tôi xét nghiệm là 4.9 
-Đinh nhóm máu hệ Rh( D)  Dương tính 
Tôi xin được các BS tư vấn xem tôi đang mác chứng bênh gì cần khám và chữa ở đâu ạ . xin cảm ơn các bác sỹ các nhà khoa học chuyên ngành.",09/06/2020,https://medlatec.vn/hoi-dap/xin-tu-van-ve-2-chi-tieu-mau-cua-toi-c11-q52221#traloi
Huyết học,Real time PCR,"Cho e hỏi,với xn real time pcr hiv  của e,bv ghi là ""không phát hiện RNA hiv trong mẫu,""tức là không có virut,âm tính. .cho e hỏi,đã có  ai mà âm tính giả với phương pháp này chưa ạ?",25/05/2020,https://medlatec.vn/hoi-dap/real-time-pcr-c11-q51492#traloi
Huyết học,Huyết học,Chào Bác Sĩ. Sáng nay mình có đi xét nghiệm máu về và có chỉ số mono là 6% (chỉ số bthg là 1-4%). Cho mh hỏi nguyên nhân gây nên tình trạng chỉ số tăng như vậy ạ. Cám ơn Bác Sĩ,22/05/2020,https://medlatec.vn/hoi-dap/huyet-hoc-c11-q51368#traloi
Huyết học,KẾT QUẢ XN MÁU,"Chào anh chị bác sĩ,
Em muốn hỏi vđề sau: em xét nghiệm gen thalassemia và được kết luận dương tính với - - SEA dị hợp tử. Chồng e tổng phân tích máu có các chỉ số MCV, MCH, MCHC ở ngưỡng bình thường. Vậy con em sinh ra có khả năng nào bị bệnh thalassemia thể nặng không ạ?",21/05/2020,https://medlatec.vn/hoi-dap/ket-qua-xn-mau-c11-q51340#traloi
Huyết học,Ve bệnh suy tuỷ sương,"Chao bac si a , pdw 40.4     Tang          . Hong cầu luoi 1.49 tang  ,",21/05/2020,https://medlatec.vn/hoi-dap/ve-benh-suy-tuy-suong-c11-q51331#traloi
Huyết học,Real time PCR,"Cho hỏi xét nghiệm combi pt hiv âm tính,và xét nghiệm real time pcr  hiv sau nguy cơ 4 tháng, nhận được kết quả xét nghiệm là không phát hiên RNA của virut trong mẫu,,0 pcs/ml,,thì đã an toàn chưa,,ở medlantec thì bao nhiêu bản sao virut thì máy không phát hiện được,",21/05/2020,https://medlatec.vn/hoi-dap/real-time-pcr-c11-q51318#traloi
Huyết học,Xét nghiệm máu,"E đi xét nghiệm.máu và kết quả RDW- sd giảm còn 35, 8. %MONO tăng 9,3 còn %EO tăng 7,5 thì ảnh hưởng gì tới sức khỏe ạ",20/05/2020,https://medlatec.vn/hoi-dap/xet-nghie%CC%A3m-mau--c11-q51271#traloi
Huyết học,Máu,"M đi xét nghiệm o Viện Huyết học truyền máu tw 
Chỉ số Feretin: 498
HB A1: 87,7
HB A2: 0,5
HB H: 11,8
Bác sỹ kết luận bị Alpha Thalassamin",20/05/2020,https://medlatec.vn/hoi-dap/mau--c11-q51261#traloi
Huyết học,Xét nghiệm máu có biết được do nguyên nhân gì hay không?,"Tôi sốt từ sáng t7 (ngày 16/5).
Triệu chứng: ko ho,ko thấy viêm nhiễm
Sốt từ 37-39'5 độ, khi sốt cao uống 2 viêm paracetamol 500, thời gian cắt sốt tầm 4-5h. Uống oresol và nước hoa quả,chườm khăn nóng. 
Chuẩn đoán sốt viruts.",20/05/2020,https://medlatec.vn/hoi-dap/xet-nghiem-mau-co-biet-duoc-do-nguyen-nhan-gi-hay-khong-c11-q51243#traloi
Huyết học,Thừa sắt,"Tôi xét nghiệm feritin có chỉ số: 1340, cao hơn 5 lần chỉ số bình thương, các xét nghiệm tủy bình thường, bác sỹ khuyên nên ăn các loại thức ăn ít sắt. Tôi xin hỏi có cách điều trị nào dùng thuốc tốt hơn không?",16/05/2020,https://medlatec.vn/hoi-dap/thua-sat-c11-q51048#traloi
Huyết học,Hồng cầu cao,Em đã khám tổng quát ở nhật. Kết quả xét nghiệm máu như sau ạ. Chỉ số rbc là 5.8. cao hơn mức bình thường là (3.6-4.9). Huyết sắc tố là 12. Thấp hơn mức bình thường là (12.1-14.5). Vậy e có bị thiếu máu không ạ. Hay là bị bệnh gì liên quan ạ. Em nên và không nên ăn và uống gì để cải thiện kêt quả trên ạ. Em cám ơn,15/05/2020,https://medlatec.vn/hoi-dap/hong-cau-cao-c11-q51013#traloi
Huyết học,Bệnh tan máu bẩm sinh di truyền,"Chào bác sĩ, vợ chồng em đều mang gen tan máu thể dị hợp alpha thala, thiếu máu nhẹ. Em bị đột biến kiểu --SEA, vợ em bị -3.7, các kết quả xét nghiệm máu khác đều bình thường, thai nhi đang được 13 tuần tuổi, trường hợp xấu nhất thai nhi bị cả 2 gen lặn --SEA và -3.7 thì bé có bị chuyển sang thể thiếu máu trung hoặc nặng không ạ? xin cảm ơn bác sĩ ạ.",14/05/2020,https://medlatec.vn/hoi-dap/benh-tan-mau-bam-sinh-di-truyen-c11-q50999#traloi
Huyết học,Bất thường về máu,"một bệnh nhân 12 tháng tuổi 
- Chỉ số HGB : 7 (10.5-13.5) giá trị giảm 
Từ chỉ số HGB  kết luận người này thiếu máu.
- Chỉ số MCV : 86 (70-86) giá trị bình thường 
 -Chỉ số MCH : 28( 23-31) , MCHC : 33 (30-36)  giá trị bình thường
Từ các chỉ số trên kết luận không có bất thường hồng cầu.
-Chỉ số WBC :3.30 (6.0-17.5) giá trị giảm so với bình thường
-Chỉ số PLT : 18.0 (150-400) giảm mạnh so với giá trị bình thường 
cho em hỏi đang hướng bệnh nhân tới bệnh gi?",14/05/2020,https://medlatec.vn/hoi-dap/bat-thuong-ve-mau-c11-q50964#traloi
